geneID M6_C M6_C M6_C M6_F M6_F M6_F
Dgal_TRINITY.DN0.c0.g1.i1 2 14 8 8 2 4
Dgal_TRINITY.DN10000.c0.g1.i1 160 196 166 134 240 218
Dgal_TRINITY.DN10001.c0.g1.i1 1894 1664 1672 1830 1950 2116
Dgal_TRINITY.DN10002.c0.g1.i1 84 66 66 86 74 102
Dgal_TRINITY.DN10003.c0.g1.i1 74 88 82 72 70 134
Dgal_TRINITY.DN10003.c0.g1.i2 8 14 12 12 10 20
Dgal_TRINITY.DN10004.c0.g1.i1 176 162 134 132 154 184
Dgal_TRINITY.DN10004.c0.g1.i2 36 44 38 52 44 52
Dgal_TRINITY.DN10005.c0.g1.i1 404 392 420 410 460 474
Dgal_TRINITY.DN10006.c0.g1.i1 434 304 400 520 572 728
Dgal_TRINITY.DN10007.c0.g1.i1 158 202 208 194 180 226
Dgal_TRINITY.DN10008.c0.g1.i1 216 242 234 224 246 282
Dgal_TRINITY.DN10008.c0.g1.i2 12 20 8 16 4 16
Dgal_TRINITY.DN10009.c0.g1.i1 156 196 192 204 204 240
Dgal_TRINITY.DN1000.c0.g1.i1 164 252 204 182 178 218
Dgal_TRINITY.DN10010.c0.g1.i1 58 16 24 156 8 30
Dgal_TRINITY.DN10011.c0.g1.i10 36 36 22 26 4 38
Dgal_TRINITY.DN10011.c0.g1.i11 52 16 28 40 28 46
Dgal_TRINITY.DN10011.c0.g1.i8 14 24 30 26 26 30
Dgal_TRINITY.DN10012.c0.g1.i1 34 18 20 20 6 12
Dgal_TRINITY.DN10012.c0.g2.i1 46 46 78 38 72 106
Dgal_TRINITY.DN10013.c0.g1.i1 19304 20204 19702 19748 20268 25554
Dgal_TRINITY.DN10014.c0.g1.i1 48 42 50 54 44 52
Dgal_TRINITY.DN10014.c0.g2.i1 24 32 34 46 28 34
Dgal_TRINITY.DN10014.c0.g2.i3 48 76 74 70 60 102
Dgal_TRINITY.DN10015.c0.g1.i1 20 76 62 30 170 98
Dgal_TRINITY.DN10016.c0.g1.i1 26 12 12 22 30 34
Dgal_TRINITY.DN10016.c0.g1.i2 8 10 6 12 18 32
Dgal_TRINITY.DN10016.c0.g1.i3 12 26 14 24 24 26
Dgal_TRINITY.DN10017.c0.g1.i1 1554 1956 1664 1812 1776 2056
Dgal_TRINITY.DN10018.c0.g1.i2 8 6 8 8 2 12
Dgal_TRINITY.DN10019.c0.g1.i1 42 60 50 40 44 52
Dgal_TRINITY.DN1001.c0.g1.i1 22 24 24 10 30 28
Dgal_TRINITY.DN10020.c0.g1.i1 6876 7956 7390 7662 7488 9420
Dgal_TRINITY.DN10021.c0.g1.i1 1074 1260 1136 1158 1136 1304
Dgal_TRINITY.DN10022.c0.g1.i1 128 194 212 92 136 102
Dgal_TRINITY.DN10023.c0.g1.i1 354 386 374 336 368 426
Dgal_TRINITY.DN10023.c0.g2.i1 2582 2804 2792 2586 2818 3244
Dgal_TRINITY.DN10024.c0.g1.i1 1502 1682 1550 1658 1614 1880
Dgal_TRINITY.DN10025.c0.g1.i1 3804 3918 3706 3968 3802 4742
Dgal_TRINITY.DN10026.c0.g1.i1 1190 1210 1314 1466 1322 1534
Dgal_TRINITY.DN10027.c0.g1.i1 906 1278 1152 1066 764 1220
Dgal_TRINITY.DN10028.c0.g2.i3 38 56 52 42 62 66
Dgal_TRINITY.DN10029.c0.g1.i1 380 484 410 428 360 462
Dgal_TRINITY.DN10029.c0.g1.i2 688 1024 920 848 748 1030
Dgal_TRINITY.DN1002.c0.g1.i1 18 18 16 10 14 8
Dgal_TRINITY.DN10030.c0.g1.i2 158 192 160 160 180 210
Dgal_TRINITY.DN10030.c0.g1.i3 254 240 264 320 266 322
