M6_C M6_C.1 M6_C.2 M6_F M6_F.1 M6_F.2
Dgal_TRINITY.DN10001.c0.g1.i1 1894 1664 1672 1830 1950 2116
Dgal_TRINITY.DN10006.c0.g1.i1 434 304 400 520 572 728
Dgal_TRINITY.DN10013.c0.g1.i1 19304 20204 19702 19748 20268 25554
Dgal_TRINITY.DN10017.c0.g1.i1 1554 1956 1664 1812 1776 2056
Dgal_TRINITY.DN10020.c0.g1.i1 6876 7956 7390 7662 7488 9420
Dgal_TRINITY.DN10021.c0.g1.i1 1074 1260 1136 1158 1136 1304
Dgal_TRINITY.DN10023.c0.g2.i1 2582 2804 2792 2586 2818 3244
Dgal_TRINITY.DN10024.c0.g1.i1 1502 1682 1550 1658 1614 1880
Dgal_TRINITY.DN10025.c0.g1.i1 3804 3918 3706 3968 3802 4742
Dgal_TRINITY.DN10026.c0.g1.i1 1190 1210 1314 1466 1322 1534
Dgal_TRINITY.DN10027.c0.g1.i1 906 1278 1152 1066 764 1220
Dgal_TRINITY.DN10029.c0.g1.i1 380 484 410 428 360 462
Dgal_TRINITY.DN10029.c0.g1.i2 688 1024 920 848 748 1030
Dgal_TRINITY.DN10036.c0.g1.i1 1390 1686 1432 1916 1340 2048
Dgal_TRINITY.DN10038.c0.g3.i1 3090 2994 2922 2964 2918 3550
Dgal_TRINITY.DN10039.c0.g1.i1 1456 1430 1426 1566 1550 1872
Dgal_TRINITY.DN10039.c1.g1.i1 1112 1072 946 1136 1132 1232
Dgal_TRINITY.DN10043.c0.g1.i1 302 422 546 420 758 538
Dgal_TRINITY.DN10045.c0.g1.i1 348 618 544 764 504 796
Dgal_TRINITY.DN10048.c0.g1.i4 4206 5272 4928 4660 4240 5364
Dgal_TRINITY.DN10049.c0.g1.i1 1244 1296 1264 1228 1174 1468
Dgal_TRINITY.DN10050.c0.g1.i1 5284 5752 5282 5470 6634 7316
Dgal_TRINITY.DN10053.c0.g1.i1 13024 13396 13934 13854 14164 16730
Dgal_TRINITY.DN10054.c0.g1.i1 2694 3086 2694 2910 2922 3188
Dgal_TRINITY.DN10055.c0.g1.i1 1860 6516 4754 7252 3160 4538
Dgal_TRINITY.DN10060.c0.g1.i1 1882 2054 1968 1980 2078 2468
Dgal_TRINITY.DN10061.c3.g1.i1 3056 3320 3004 2906 2992 3426
Dgal_TRINITY.DN10064.c0.g1.i1 1078 854 856 904 1222 1892
Dgal_TRINITY.DN10066.c0.g1.i1 7702 4854 4658 7996 9716 14676
Dgal_TRINITY.DN10066.c0.g1.i2 980 664 660 924 1232 1982
Dgal_TRINITY.DN10068.c0.g1.i1 178 696 476 512 328 516
Dgal_TRINITY.DN10069.c0.g1.i1 792 670 876 764 954 1154
Dgal_TRINITY.DN10073.c0.g1.i1 1940 1920 1858 1960 2038 2996
Dgal_TRINITY.DN10076.c0.g1.i1 3908 4712 4118 4222 3994 4964
Dgal_TRINITY.DN10077.c0.g1.i1 3966 5028 4498 4514 4258 5048
Dgal_TRINITY.DN10077.c1.g1.i2 5246 5794 4868 5424 5434 6018
Dgal_TRINITY.DN10078.c0.g1.i1 6396 6142 5958 6510 6818 8308
Dgal_TRINITY.DN10080.c0.g1.i1 1682 1586 1474 1486 1686 2326
Dgal_TRINITY.DN10082.c0.g1.i1 2568 2652 2628 2722 2994 3534
Dgal_TRINITY.DN10086.c0.g1.i1 4114 3510 3558 4354 3732 4696
Dgal_TRINITY.DN10089.c0.g1.i2 2126 2108 2236 2408 2568 2852
Dgal_TRINITY.DN10090.c0.g1.i1 6872 7188 6958 6872 7608 8698
Dgal_TRINITY.DN10095.c1.g1.i1 2550 3584 3146 2696 2846 2726
Dgal_TRINITY.DN10096.c0.g1.i1 45640 44038 42510 44220 46228 54086
Dgal_TRINITY.DN10098.c0.g1.i1 996 1122 1012 1068 1010 1326
Dgal_TRINITY.DN10100.c0.g1.i2 24550 29638 25022 24922 20708 25940
Dgal_TRINITY.DN10101.c0.g1.i1 2656 2626 2692 2608 2972 3376
Dgal_TRINITY.DN10102.c0.g1.i1 748 794 742 734 818 1024
Dgal_TRINITY.DN10104.c0.g1.i1 10116 8914 9730 9426 10184 12322
Dgal_TRINITY.DN10105.c0.g1.i1 1138 978 1072 1104 1228 1428
Dgal_TRINITY.DN10105.c0.g2.i1 528 510 522 546 572 666
Dgal_TRINITY.DN10106.c0.g1.i1 1764 1684 1538 1918 1800 2156
Dgal_TRINITY.DN10107.c0.g1.i2 2234 2280 2346 2288 2492 3244
Dgal_TRINITY.DN10108.c0.g1.i1 820 1214 1002 924 810 850
Dgal_TRINITY.DN10109.c0.g1.i1 13092 6924 16390 8312 7940 20182
Dgal_TRINITY.DN10110.c0.g1.i1 6416 5542 6340 6692 7516 9060
Dgal_TRINITY.DN10111.c0.g1.i1 696 694 766 846 794 974
Dgal_TRINITY.DN10112.c0.g1.i1 994 924 926 1036 1006 1368
Dgal_TRINITY.DN10113.c0.g1.i1 1284 4270 2526 2696 6358 3396
Dgal_TRINITY.DN10114.c0.g1.i1 576 818 658 770 654 776
Dgal_TRINITY.DN10117.c0.g1.i1 234 1308 1078 1212 734 1452
Dgal_TRINITY.DN10119.c0.g1.i1 1990 2116 2158 2196 2322 2600
Dgal_TRINITY.DN10120.c0.g1.i1 2358 2250 2568 2424 2562 3052
Dgal_TRINITY.DN10122.c0.g1.i1 1000 822 938 968 1058 1184
Dgal_TRINITY.DN10125.c0.g1.i1 3704 3096 3412 3518 3924 4570
Dgal_TRINITY.DN10128.c0.g1.i1 4182 4540 4524 4320 4284 5384
Dgal_TRINITY.DN10128.c1.g1.i1 1698 1856 1666 1504 1714 2020
Dgal_TRINITY.DN10131.c0.g1.i1 450 462 428 456 464 604
Dgal_TRINITY.DN10137.c0.g1.i1 1474 2122 1774 2004 1624 1884
Dgal_TRINITY.DN10138.c0.g1.i1 972 1118 1040 880 794 670
Dgal_TRINITY.DN1013.c0.g1.i1 1682 1746 1788 1952 1794 2210
Dgal_TRINITY.DN10142.c0.g1.i1 454 502 522 508 584 674
Dgal_TRINITY.DN10143.c0.g1.i2 1740 1800 1852 1794 1908 2108
Dgal_TRINITY.DN10144.c0.g1.i1 1960 1878 2028 2022 2074 2626
Dgal_TRINITY.DN10145.c0.g1.i2 658 828 776 768 702 1080
Dgal_TRINITY.DN10148.c0.g1.i1 1900 1710 1912 1930 1944 2450
Dgal_TRINITY.DN10150.c0.g1.i2 2158 2084 2264 2252 2398 2660
Dgal_TRINITY.DN10153.c0.g1.i1 4456 4286 4408 4648 4388 5492
